2020-05-11 00:06:06.943 [,] [reactor-http-nio-3] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:06:07.048 [,] [reactor-http-nio-3] INFO  c.g.u.f.PowerCheckFilter - [filter,91] - POST
2020-05-11 00:20:12.299 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,334] - Content-Disposition:form-data;name="name"publicclassAuthGlobalFilterimplementsGlobalFilter,Ordered----------------------------671663331447406990313178Content-Disposition:form-data;name="sex"publicclassAuthGlobalFilterimplementsGlobalFilter,Ordered----------------------------671663331447406990313178Content-Disposition:form-data;name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:20:12.305 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,336] - 第一步：Content-Disposition:form-data;name="name"publicclassAuthGlobalFilterimplementsGlobalFilter,Ordered----------------------------671663331447406990313178Content-Disposition:form-data;name="sex"publicclassAuthGlobalFilterimplementsGlobalFilter,Ordered----------------------------671663331447406990313178Content-Disposition:form-data;name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:21:27.734 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,334] - Content-Disposition: form-data; name="name"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="sex"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:21:27.739 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,336] - 第一步：Content-Disposition: form-data; name="name"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="sex"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:22:13.727 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,334] - Content-Disposition: form-data; name="name"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="sex"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:22:13.733 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,336] - 第一步：Content-Disposition: form-data; name="name"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="sex"public class AuthGlobalFilter implements GlobalFilter, Ordered----------------------------671663331447406990313178Content-Disposition: form-data; name="height"12345----------------------------671663331447406990313178--
2020-05-11 00:22:13.736 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,349] - 最后一步:public class AuthGlobalFilter implements GlobalFilter, Ordered
2020-05-11 00:22:13.737 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,349] - 最后一步:public class AuthGlobalFilter implements GlobalFilter, Ordered
2020-05-11 00:22:13.738 [,] [main] INFO  c.g.u.f.HmacCheckFilter - [main,349] - 最后一步:12345
